date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:43	2321/2321	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/js/front-page-landing.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/js/front-page-landing23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:44	778/778	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2017%20Apr%202024%2022:52:36%20GMT	https://certcpv2024.ine.gob.bo/assets/js/registro/verificar_certificado.js	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/js/registro/verificar_certificado.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:50	396732/396732	---M--	200	added ('OK')	font/woff2	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont.woff2?v=7.2.96	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont9445.woff2	(from https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons.css?v=1.2.1)
22:57:50	576748/576748	---M--	200	added ('OK')	font/woff	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont.woff?v=7.2.96	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont9445.woff	(from https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons.css?v=1.2.1)
22:57:50	1280212/1280212	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont.eot?	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfontd41d.eot	(from https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons.css?v=1.2.1)
22:57:51	1280212/1280212	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont.eot?v=7.2.96	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont9445.eot	(from https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons.css?v=1.2.1)
22:57:51	721/721	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/img/favicon/bg-left-icon.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/favicon/bg-left-icon.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page.css?v=1.2.1)
22:57:51	1152/1152	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/img/favicon/bg-right-icon.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/favicon/bg-right-icon.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page.css?v=1.2.1)
22:57:51	1279992/1279992	---M--	200	added ('OK')	font/ttf	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont.ttf?v=7.2.96	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons/materialdesignicons-webfont9445.ttf	(from https://certcpv2024.ine.gob.bo/assets/vendor/fonts/materialdesignicons.css?v=1.2.1)
22:57:51	647/647	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/img/favicon/bg-left-dark-icon.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/favicon/bg-left-dark-icon.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page.css?v=1.2.1)
22:57:51	1010/1010	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/img/favicon/bg-right-dark-icon.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/favicon/bg-right-dark-icon.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page.css?v=1.2.1)
22:57:52	3091/3091	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2002:57:52%20GMT	https://certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/footer-bg.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/footer-bg.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page.css?v=1.2.1)
22:57:52	3091/3091	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2002:57:52%20GMT	https://certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/cta-bg.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/cta-bg.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page-landing.css?v=1.2.1)
22:57:52	3091/3091	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2002:57:53%20GMT	https://certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/hero-bg.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/hero-bg.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page-landing.css?v=1.2.1)
22:57:53	3091/3091	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jun%202024%2002:57:53%20GMT	https://certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/hero-bg-dark.png	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/img/front-pages/backgrounds/hero-bg-dark.png	(from https://certcpv2024.ine.gob.bo/assets/vendor/css/pages/front-page-landing.css?v=1.2.1)
